name,diameter,e,a,q,i,per_y
Aralia,51.609,.1120024061596288,3.21104173569252,2.851397335015967,15.83036843683992,5.75409632507462
Lioba,25.001,.1116418892763354,2.533592791201252,2.25073770533464,5.456760859727115,4.03286258576079
Perseverantia,22.169,.03110589920749758,2.835046200339322,2.746859538982968,2.559472127841629,4.77362625190519
Benjamina,83.195,.1015683759175611,3.200711213294889,2.875620173579401,7.713211030329157,5.72635066314494
Philippa,65.471,.02682819681521877,3.116914802119436,3.033293598351907,15.17447627719659,5.50295041272966
Aidamina,92.105,.2339550827087417,3.197756715555603,2.449625278685357,21.64501111771341,5.71842371311722
Ilsewa,35.741,.1371690700117302,3.156702554986722,2.723700601215541,10.11198883160002,5.60865459251681
Anacostia,74.679,.2028981136535826,2.740086270902733,2.184127935288489,15.9047225105709,4.53580689950157
Martina,32.545,.2037325689814619,3.093638573487402,2.463363639410669,2.065622447410988,5.44142394636962
Franklina,33.227,.2346337175295055,3.065489572554422,2.346222358098044,13.65057736162636,5.36732591139143
Gunila,73.87,.09244399877749368,3.158559225578837,2.866569380390786,14.86945785366118,5.6136035645478
Gretia,32.449,.1974300698360634,2.802811191519339,2.249451982240376,9.09297549349575,4.6924425766241
Amelia,48.677,.2022580044374536,3.134576821992519,2.500583569220417,14.81152055408715,5.54979037266853
Wallia,52.651,.2355851824516151,3.140876529299279,2.400932559086312,8.907483736494955,5.56652929021267
Appella,20.431,.23581365685912,3.143009539774588,2.401844966657243,1.574791320641998,5.57220070747698
Yerkes,21.428,.2170086790636366,2.668084901701395,2.089087321553543,8.785935391480846,4.35820515571046
McDonalda,38.556,.158171071590873,3.142719374158877,2.645632083038769,2.069612598386483,5.57142907902156
Swasey,27.585,.08497801091355026,3.029314341529195,2.771889234354152,10.84390691301849,5.27259864424792
Otthild,20.786,.1160585185695414,2.529732560396968,2.236135547060162,15.41080870403657,4.02364927664824
Sternberga,20.222,.1684563205648452,2.61539391683919,2.174814280780781,13.05443225472262,4.22974188791098
Hilaritas,29.128,.1404096984255111,3.087960759017926,2.654381120094406,.6594450061598387,5.4264506965139
Priska,20.274,.1833278619968418,2.667744012877304,2.178672206641632,10.50764842116667,4.35736994092327
Bodea,27.943,.2126919726870237,3.118876232200644,2.455516293807217,15.50274828285714,5.50814562228229
Piazzia,47.78,.2580805700033558,3.170513181220317,2.352265332207825,20.5725983929544,5.64550175677944
Gaussia,72.711,.1262343282867546,3.209783194624302,2.80459836910479,9.295827692580446,5.75071375136597
Olbersia,22.938,.1544018618408733,2.786935073360199,2.356627109203753,10.76728725726252,4.65262959648544
Lilofee,33.678,.1599208213508737,3.139364165176037,2.637314469361586,1.84018531054915,5.5625092631835
Belopolskya,71.60,.08743892559698067,3.40315674683111,3.105588377250082,2.978530508921607,6.27814195802814
Arago,61.132,.1175531717225571,3.16590895481218,2.793746315789162,19.06030150909301,5.63320860689919
Lagrangea,35.310,.3568957152918772,3.142544349069089,2.02098373577163,10.91650659274557,5.57096365743201
"La Paz",41.061,.07825782793259105,3.09140376320966,2.849477219438234,8.936177077880767,5.43552877465877
Marlene,46.876,.103258397409861,2.93034738394266,2.627764409222562,3.907034151304259,5.01633883567196
Sarema,20.905,.1346387420260733,2.479816657596909,2.145937262362759,4.032117453730076,3.90514857519665
Tombecka,34.613,.2089265947153214,2.683711975530784,2.123013171286409,11.90142504710634,4.39655042429391
Christa,82.350,.08658362161552451,3.207311731031001,2.92961106570838,9.441645237746174,5.74407314236128
Jacqueline,40.152,.07896019521768471,2.605092139453331,2.39939355556204,7.927481668464624,4.20477571213137
Flammario,100.765,.2855156091888717,2.737050966604028,1.955580192493089,15.86902710400499,4.52827224216082
Olympiada,34.297,.1750518236264173,2.805326023554057,2.314248587264274,21.05167536643519,4.69875945855068
Thomana,58.27,.1018599832085475,3.166730521407101,2.844167403670579,10.07839301630658,5.63540151088823
Hale,43.274,.2248333320695073,2.865376399085873,2.22114427564607,16.08905250051034,4.85043536208961
Aesculapia,31.225,.1301758808174014,3.152279052976187,2.741928350672768,1.253717437487547,5.59686957277799
Lydina,88.526,.1063735880031941,3.407819991982934,3.045317952166692,9.393600473395388,6.29105050623363
"La Plata",20.78,.0282521642224814,2.891699725370098,2.810002949846838,2.426369361654729,4.91742780860517
Vitja,59.717,.1233989927857929,3.121595481058308,2.73639374281103,14.78569696378837,5.51535075731299
Arctica,75.400,.05638397694145483,3.048249476328152,2.876377048143064,17.6347828273784,5.32211144038886
Pafuri,65.658,.1435804220782508,3.128032595857019,2.678908355469342,9.479255196291371,5.53241954926874
Amata,56.063,.1899640149634054,3.154406987715646,2.55518317150056,18.01124268994143,5.60253774936501
Ganymed,37.675,.5337168148316962,2.662727076422508,1.241584862428173,26.69336659778635,4.34508407295516
Tuckia,58.3,.2203777162667762,3.981973469260785,3.104435249870201,9.184016717572259,7.94613145531657
Sonneberga,33.853,.05923266969816895,2.680000356909431,2.521256780977639,4.555694200732928,4.38743282422442
Klumpkea,22.340,.1924487355500461,3.113277244389838,2.514130975290282,16.68707960117238,5.49331999625705
Asta,60.571,.1432535028878932,3.073831707390194,2.633494548018675,13.93366288989565,5.38925001348979
Amazone,63.920,.08912029284365286,3.240633057192449,2.951826890136636,20.70239979857661,5.83381951677461
Beate,31.986,.04031626774428352,3.096571468857812,2.971729264430031,8.925672917815003,5.44916381736606
Edwin,29.084,.06508557411882325,2.983819820599218,2.789616194508394,7.899101235184818,5.15426916025839
Feodosia,62.218,.1807770230459074,2.731551086631935,2.237749412892801,15.80971743281816,4.51463031213833
Gotho,56.296,.1358938214672615,3.09296186905218,2.672647461014156,15.10971373269678,5.43963865329482
Merope,60.439,.09927258067902058,3.213818153780785,2.894774131821881,23.50819223501015,5.76156083252527
Forsytia,47.780,.1353191251464612,2.924089470312017,2.528404241339416,10.84859361282972,5.00027842779045
Wanda,44.657,.2460451040467155,2.898442418851922,2.185294852332087,3.531896612862599,4.93463707942615
Mussorgskia,25.227,.1880741454015257,2.640971014999629,2.144272648323374,10.09730255709117,4.29194012276477
Paeonia,23.092,.2151200593162678,3.12663302169074,2.454031540604427,2.498635478128044,5.52870691278188
Ljuba,58.031,.06968829676702799,3.004981572893327,2.795569525262086,5.595974350654616,5.2091986822184
Aethusa,20.007,.1772553851019461,2.542392668378782,2.091739876864937,9.501982189940948,4.05389171085183
Lunaria,20.011,.1915621743124485,2.870646889937952,2.320739530018169,10.54740269846382,4.86382414084481
Nofretete,21.346,.09621314548033696,2.90713721718693,2.627432401178422,5.484005135106307,4.95685823959729
Planckia,35.657,.1105325163778446,3.126517517184493,2.78093566851068,13.56251292295851,5.52840055223686
Tunica,39.131,.07916174602668832,3.232296020280507,2.976421823639986,16.96284580280428,5.81132137847748
Brita,60.862,.1090834210264617,2.800939106074356,2.495403086296966,5.371534985888569,4.68774201754292
Malva,53.675,.2413913410758066,3.165043868602681,2.401029684596921,8.023411458300609,5.63089984901941
Gellivara,25.992,.1897898956045959,3.187540806261563,2.582577769405792,1.604327183807839,5.69104254231524
Beljawskya,49.189,.1790993541555955,3.149872327755299,2.585732228181743,.8004957326954549,5.59046108758175
Helina,26.198,.1132845434615173,3.011646556336407,2.670473551134386,11.52273822834402,5.22653912173595
Viola,22.298,.144652120050437,2.474362851877429,2.116441019579314,3.319507620661435,3.89227290114495
Mimosa,20.7,.04864623232010747,2.872928505143965,2.733171357643673,1.176401808036599,4.86962400773474
Orchis,21.797,.2589617989921719,2.418824511979057,1.792441364910598,4.587315974036676,3.76196494017589
Reseda,37.810,.1460047484700631,3.103600072543505,2.650459724600121,4.202918648591019,5.46772712444042
Pirola,42.607,.1811304111394202,3.120541356250555,2.555316417415328,1.852406842794319,5.51255729292293
Tamariwa,26.476,.1323364367651794,2.688473429554935,2.332690435549773,3.895285470356894,4.40825618227653
Amaryllis,69.281,.04201811088871563,3.184398084864285,3.050595693020644,6.639590670458715,5.68262808440096
Nata,66.27,.05441685510717807,3.16279894413517,2.99068937225903,8.358702700829799,5.6249100253754
Arabis,37.498,.09429318882541998,3.014212988891209,2.729993234369657,10.06085774215626,5.23322138863718
Spiraea,35.178,.06427387412019336,3.428057389429657,3.207722860304656,1.155373055131323,6.34717288853772
Lilium,40.276,.08434182235536661,2.899800940501589,2.65522644471188,5.38850735415963,4.93810683790694
Freda,116.73,.2711166647863771,3.129254246805688,2.280861272143123,25.21490673048428,5.53566088958764
Tulipa,27.875,.02209291126787742,3.024970678520451,2.958140269731968,10.02959733583669,5.26126232651435
Reunerta,42.333,.1939210546160556,2.601094159584636,2.09668723700232,9.471296671837836,4.19509995612479
Vicia,23.110,.2928851981681769,2.644139934378848,1.869710485713909,1.533186476444118,4.29966733252804
Hakone,26.684,.1189426344114645,2.688385905060338,2.368622203197812,13.37748260727973,4.40804091480359
Figneria,23.309,.2775474730907949,3.179880509895058,2.297312709643016,11.83901968080941,5.67053980709897
Clematis,33.765,.07837363666786519,3.230164085930995,2.977004379482652,21.42418538162495,5.80557284286681
Pepita,36.632,.11081569729203,3.071511900333447,2.731140167357228,15.82778250611727,5.38315030034658
Syringa,23.244,.3437781956073255,2.629576900524206,1.725585698451291,6.441497246420323,4.264194604575
Fragaria,31.518,.1057909665397901,3.010677068753514,2.692174631710897,10.96678803644539,5.22401559006891
Lictoria,79.079,.124501830996028,3.18459073168335,2.788103354615793,7.073416140406945,5.68314376589815
Demeter,25.285,.2567138273365664,2.427809370216209,1.804557134744427,24.91542053750965,3.78294543551957
Tata,61.817,.09846252143040823,3.225833051239741,2.908209395301129,4.119936502572695,5.79390050682254
Polonia,39.661,.1068882632408222,3.01880248842542,2.696127933370554,8.991903775379427,5.2451782447454
Katja,44.792,.1422295003241916,3.111152727641924,2.668655029757168,13.28042540134261,5.48769795001946
Lorraine,75.631,.07186063044558642,3.095641212026818,2.873186482897232,10.74381535752915,5.44670848514491
Sabauda,75.907,.1704562992974766,3.104141824273379,2.575021296413221,15.27055841678004,5.46915882302611
Catriona,38.741,.2295960209803605,2.923374747275537,2.252179537466607,16.52282356327662,4.99844524390941
Hanskya,70.954,.04460764193787438,3.212721835657117,3.069409890366134,13.95155308508528,5.75861295345418
Euboea,29.443,.1558347525486302,2.610392083341209,2.203602278978829,7.858318085297048,4.21761387953568
Stroobantia,24.450,.03009561813125258,2.926223591906609,2.838157084117925,7.793286656015952,5.00575354189757
China,26.513,.2179685144959022,3.126748631619664,2.445215877183431,3.040746767595053,5.52901355861331
Mimi,46.006,.2641627177419044,2.596249890308548,1.910417463347521,14.74464199626078,4.18338600366167
Astrid,41.851,.04653493966905185,2.787416182343345,2.657703938465458,1.014451451475498,4.65383442460514
Neujmina,34.576,.08238070131644362,3.022387999988159,2.773401556898731,8.617449788353067,5.2545257743538
Hollandia,27.235,.2743776947162708,2.687029760099589,1.949768728889449,7.221680943029953,4.40470590892976
Colchis,50.592,.1160482406792817,2.66510662945904,2.355825693887629,4.540907072978065,4.35090986769922
